                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.409,                 1.0728,                 1.6391,                0.60918,                0.63163,                0.63183,                0.33036,                 1.5171,                 1.0127,                 1.7565,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.4239,                 1.0663,                 1.6367,                0.59544,                0.64301,                0.63902,                0.33366,                 1.5343,                 1.0055,                 1.7664,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.4174,                 1.0723,                 1.6364,                0.64795,                0.62266,                0.63567,                0.33483,                  1.529,                0.99699,                 1.7583,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.4209,                 1.0591,                 1.6338,                0.64555,                0.62825,                0.64481,                0.33917,                 1.5204,                 1.0037,                 1.7541,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.3975,                 1.0523,                 1.6151,                0.60502,                 0.6271,                0.63556,                0.33549,                 1.5273,                0.98833,                 1.7545,             0.00044105,             0.00044105,             0.00044105
                     54,                  1.388,                 1.0393,                 1.6087,                0.65191,                0.60279,                 0.6446,                 0.3339,                 1.5123,                 1.0051,                 1.7535,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.3848,                 1.0461,                 1.6136,                0.61893,                 0.6232,                0.64028,                0.33496,                 1.5222,                 0.9967,                 1.7561,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.3815,                 1.0415,                  1.616,                0.63034,                0.63898,                0.64925,                0.34984,                 1.4929,                0.97629,                  1.733,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.3725,                 1.0246,                 1.6006,                0.61681,                0.65241,                0.64967,                0.34571,                 1.4906,                0.98079,                 1.7305,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.3783,                 1.0164,                 1.6008,                0.64171,                0.64226,                0.65182,                0.34562,                 1.5006,                0.95945,                  1.739,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.3689,                 1.0113,                 1.6037,                 0.6238,                0.63011,                0.64269,                0.33711,                 1.5131,                0.98003,                 1.7468,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.3681,                 1.0191,                 1.5996,                0.60409,                  0.648,                0.64302,                 0.3427,                 1.4929,                0.97102,                 1.7272,             0.00037805,             0.00037805,             0.00037805
                     61,                  1.378,                 1.0068,                 1.5941,                0.65747,                 0.6206,                0.65305,                0.34197,                 1.5077,                0.98049,                  1.743,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.3546,                 1.0005,                 1.5867,                0.63862,                0.62468,                0.64793,                0.34678,                 1.5033,                0.95387,                  1.738,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.3578,                  1.004,                 1.5945,                0.61387,                0.67666,                0.65788,                0.35028,                 1.4934,                0.95539,                 1.7286,             0.00035106,             0.00035106,             0.00035106
